text,account_age,posting_frequency,label
Your GCash parcel with tracking #770761253 is out for delivery today.,1887,2.33,0
Your BDO parcel with tracking #654161199 is out for delivery today.,2316,0.15,0
Pag-IBIG advisory: Please be reminded that we do not process claims through Facebook Messenger.,53,7.45,0
Your Security Bank parcel with tracking #527570743 is out for delivery today.,2745,1.26,0
"laptop bag for sale, ₱1,750. COD available within San Pedro.",1467,0.3,0
Your Security Bank parcel with tracking #893027381 is out for delivery today.,363,1.31,0
Your Security Bank parcel with tracking #976218990 is out for delivery today.,2385,2.45,0
"Pre-order sofa, ₱800 deposit required per store policy, balance on pickup with official receipt.",120,1.1,0
Your Metrobank parcel with tracking #872956067 is out for delivery today.,48,4.42,0
Your BPI parcel with tracking #443307778 is out for delivery today.,341,0.24,0
"office chair for sale, ₱1,750. COD available within San Pedro.",1885,1.38,0
"laptop bag for sale, ₱3,000. COD available within Los Baños.",2167,0.07,0
"Pre-order watch, ₱800 deposit required per store policy, balance on pickup with official receipt.",1085,1.52,0
"jacket for sale, ₱2,500. COD available within Bay.",1667,1.07,0
Your Security Bank parcel with tracking #525505327 is out for delivery today.,1890,2.43,0
"laptop bag for sale, ₱3,000. COD available within Bay.",1941,0.21,0
"monitor for sale, ₱1,750. COD available within Cabuyao.",1115,0.87,0
Your Metrobank parcel with tracking #223480764 is out for delivery today.,397,2.19,0
"monitor for sale, ₱3,000. COD available within Calamba.",2390,0.4,0
Your BDO parcel with tracking #596585956 is out for delivery today.,646,2.37,0
Your BPI parcel with tracking #927489451 is out for delivery today.,2759,1.87,0
"Pre-order bike, ₱2,500 deposit required per store policy, balance on pickup with official receipt.",1093,0.59,0
Your LandBank parcel with tracking #161163325 is out for delivery today.,359,1.05,0
Your BDO parcel with tracking #334182788 is out for delivery today.,147,2.0,0
Your BPI parcel with tracking #582815036 is out for delivery today.,405,1.72,0
"watch for sale, ₱3,000. COD available within Calamba.",1581,1.02,0
"Pre-order office chair, ₱1,200 deposit required per store policy, balance on pickup with official receipt.",2648,1.91,0
"phone case for sale, ₱3,000. COD available within Tarlac City.",1199,1.94,0
"watch for sale, ₱1,750. COD available within Bay.",542,2.14,0
"speaker for sale, ₱3,000. COD available within Cabuyao.",344,0.68,0
Your BDO parcel with tracking #708448701 is out for delivery today.,1116,2.27,0
Your BDO parcel with tracking #691865998 is out for delivery today.,1818,1.03,0
Your BDO parcel with tracking #431283792 is out for delivery today.,793,1.48,0
Your Security Bank parcel with tracking #603626751 is out for delivery today.,350,0.34,0
"jacket for sale, ₱1,750. COD available within San Pedro.",950,0.32,0
"air fryer for sale, ₱3,000. COD available within Calamba.",2952,2.02,0
"backpack for sale, ₱800. COD available within Bay.",399,1.85,0
Your LandBank parcel with tracking #383667908 is out for delivery today.,2917,1.28,0
Your Security Bank parcel with tracking #551804627 is out for delivery today.,1659,1.46,0
Your BPI parcel with tracking #727912339 is out for delivery today.,388,3.72,0
Your LandBank parcel with tracking #575804505 is out for delivery today.,2796,1.77,0
Your BDO parcel with tracking #568814834 is out for delivery today.,2124,2.28,0
Your Metrobank parcel with tracking #220487416 is out for delivery today.,2480,0.09,0
Your BPI parcel with tracking #482230450 is out for delivery today.,161,4.73,0
Your Security Bank parcel with tracking #353447450 is out for delivery today.,494,2.27,0
"monitor for sale, ₱3,000. COD available within Los Baños.",2470,1.53,0
"Selling phone case, complete accessories, willing to meet at a public place for safety.",2353,0.42,0
"phone case for sale, ₱3,000. COD available within San Pedro.",2911,1.97,0
Your UnionBank parcel with tracking #239541222 is out for delivery today.,94,7.51,0
Your BPI parcel with tracking #130452340 is out for delivery today.,557,2.04,0
"speaker for sale, ₱3,000. COD available within Calamba.",2223,0.24,0
"Pre-order bike, ₱1,750 deposit required per store policy, balance on pickup with official receipt.",2071,1.1,0
"Pre-order watch, ₱2,500 deposit required per store policy, balance on pickup with official receipt.",2584,0.53,0
"phone case for sale, ₱1,200. COD available within Calamba.",2582,2.06,0
"phone case for sale, ₱1,750. COD available within Alaminos.",2982,0.37,0
Your Security Bank parcel with tracking #983460667 is out for delivery today.,1184,1.8,0
"Pre-order sofa, ₱1,200 deposit required per store policy, balance on pickup with official receipt.",1939,2.38,0
"jacket for sale, ₱2,500. COD available within San Pedro.",2269,0.96,0
"backpack for sale, ₱2,500. COD available within Biñan.",2643,1.69,0
"Pre-order air fryer, ₱2,500 deposit required per store policy, balance on pickup with official receipt.",440,1.53,0
"Pre-order phone case, ₱800 deposit required per store policy, balance on pickup with official receipt.",1820,2.13,0
Your Security Bank parcel with tracking #822861269 is out for delivery today.,2831,1.3,0
"bike for sale, ₱3,000. COD available within Calamba.",2984,0.59,0
Your Metrobank parcel with tracking #146817653 is out for delivery today.,1165,1.18,0
Your Metrobank parcel with tracking #892888991 is out for delivery today.,2073,0.32,0
"Pre-order phone case, ₱1,750 deposit required per store policy, balance on pickup with official receipt.",362,5.81,0
Your BPI parcel with tracking #835335352 is out for delivery today.,1411,2.02,0
Your LandBank parcel with tracking #587215237 is out for delivery today.,1210,1.14,0
Your GCash parcel with tracking #511688316 is out for delivery today.,2394,2.42,0
Your Security Bank parcel with tracking #123388981 is out for delivery today.,2122,2.4,0
"monitor for sale, ₱1,200. COD available within Cabuyao.",113,2.14,0
"watch for sale, ₱2,500. COD available within Biñan.",2140,1.37,0
Your LandBank parcel with tracking #689676733 is out for delivery today.,1865,2.05,0
Your LandBank parcel with tracking #540789979 is out for delivery today.,2148,0.29,0
Your Security Bank parcel with tracking #173527066 is out for delivery today.,717,0.77,0
Your LandBank parcel with tracking #949371024 is out for delivery today.,2637,0.88,0
"Pre-order backpack, ₱1,200 deposit required per store policy, balance on pickup with official receipt.",2058,0.47,0
"blender for sale, ₱3,000. COD available within Tarlac City.",2251,1.41,0
Your Metrobank parcel with tracking #486631514 is out for delivery today.,294,5.77,0
Your Security Bank parcel with tracking #994408203 is out for delivery today.,794,1.75,0
"office chair for sale, ₱1,200. COD available within San Pedro.",1206,1.18,0
"watch for sale, ₱1,750. COD available within Los Baños.",2031,1.47,0
Your BPI parcel with tracking #886176295 is out for delivery today.,368,5.08,0
