text,account_age,posting_frequency,label,split,source
"Visa assistance for Australia — guaranteed approval! Service fee: ₱100,000. PM me.",288,15.1,1,train,real
"Reminder: our system maintenance is ongoing, some services may be temporarily unavailable. We'll post updates here: https://go.nasa.gov/1868",787,19.61,0,train,synthetic_bias_fix
Nag-hike kami sa Alabang — ang ganda ng view sa top! Worth the climb.,2567,1.74,0,train,real
"New episode drop tonight, sino manonood mamaya? Wag kayo padala ha.",150,17.82,0,train,synthetic_supplement
"""We are committed to finishing the project on time,"" said the Mayor during today's press briefing in Tarlac City. Full report via @NASA: https://cnnphilippines.com/6389",2171,16.78,0,val,synthetic_bias_fix
"Instant cash loan in 5 minutes! Up to ₱200,000, walang guarantor. Just download: t.me/group5651.",2,24.01,1,train,real
"Selling my pre-loved jacket, ₱3,000. Meet-up lang sa Alaminos, no COD po sorry. Ganun talaga.",110,11.46,0,train,synthetic_supplement
Nag-volunteer kami sa outreach program ng church. Sobrang fulfilling!,261,1.69,0,val,real
Naka-graduate na ako finally! Salamat sa suporta ng buong pamilya. Salamat po.,1361,2.29,0,val,synthetic_supplement
SSS payout is ready! I-claim ang P500 dito sa link na ito: gcash-rewards-ph.net,22,9.02,1,train,real
Tried a new coffee shop sa Davao. Hindi naman masama yung latte nila.,2759,0.73,0,train,real
Grabe yung ending ng series! No spoilers pero must-watch talaga!,1412,0.14,0,val,real
"Hired! As a social media manager, you need to deposit ₱150 for your starter kit. This will be returned on your first payout.",34,5.15,1,val,real
Road trip with the barkada next weekend! Can't wait! Petiks lang to.,1465,2.9,0,train,synthetic_supplement
"PhilHealth salary loan schedule released na daw, check niyo na lang sa member portal, hindi sa Messenger. Hays.",221,16.83,0,test,synthetic_supplement
 PHIVOLCS ADVISORY: Kanlaon Volcano recorded pyroclastic flow this morning (26/8/2026). Communities in Negros Occidental within the permanent danger zone should remain vigilant. https://bpptkg.esdm.go.id/2303,2839,21.18,0,train,synthetic_hazard_fix
Invest wisely! Our company is SEC-registered and has been paying members for 2 years. Start with ₱999: bit.ly/earn2446.,47,22.9,1,train,real
Regular checkup today — all results normal! Thank God for good health.,60,0.43,0,val,real
Bought school supplies online for my kids. Ang mura compared sa physical store!,1937,0.23,0,train,real
"PVMBG reported lava flow at Mount Merapi this week, prompting evacuation advisories for residents in North Sulawesi. https://bpptkg.esdm.go.id/9519",1761,2.29,0,val,synthetic_hazard_fix
Invest wisely! Our company is SEC-registered and has been paying members for 2 years. Start with ₱100: shorturl.at/3230.,120,3.99,1,train,real
BDO notice: Your account may be temporarily locked. Please update your account information using the page sent in this message before your access is restricted.,2,11.57,1,train,real
Seminar for incoming freshmen will be held at Cabuyao auditorium. Please join us.,1083,2.54,0,train,real
"Mga lods, kung kailangan niyo ng pera, I-try niyo to — ₱200,000 instant approval. ₱750 lang processing fee: tinyurl.com/free3550.",60,20.1,1,train,real
Congratulations sa kapatid ko na nag-graduate today! Proud tito/tita here! 🎓,2064,1.83,0,val,real
"Pare, nag-request ako ng new Metrobank debit card. Yung activation code na-send sa old number ko na sayo na. Pa-forward.",139,4.87,1,train,real
"Salamat sa lahat ng dumalo sa despedida ni Ate kagabi, ang saya! Grabe talaga.",122,11.66,0,train,synthetic_supplement
"Bro, pautang muna P500 sa GCash, na limit kasi account ko. Bayaran ko din bukas promise.",34,20.6,1,test,real
Na-hack yung Facebook ng tita ko tapos nanghihingi ng pera sa GCash.,550,1.27,0,test,real
Bumili ako ng ice cream kanina dahil ang init. Best decision ever!,2797,2.87,0,train,real
May bagong promo yung bank ko for savings account. Okay naman yung terms.,308,12.69,0,train,real
"Mga lods, may referral program daw na turn ₱500 into a bigger payout. PM me for the registration link; legit daw and maraming payout screenshots.",19,20.84,1,train,real
Don't miss the acoustic night this Friday! Live band starting at 8PM in San Pedro.,2693,2.23,0,train,real
"Nag-workout kami kanina, pagod pero masarap yung feeling after. Take care everyone.",1097,1.02,0,val,synthetic_supplement
Today felt simple: ang daming deadline this week. Sana mas relaxed ang next few days.,873,2.68,0,train,real
"Finally, bumalik ako sa gym. Ang simple ng araw pero okay lang. Nakakatuwa rin pala yung ganitong routine.",672,2.86,0,train,real
"Job opening: social media manager — work from home! ₱1,000 daily, payout via GCash. Apply here: rebrand.ly/2454.",29,28.06,1,train,real
"Bagong baby sa family! Welcome to the world, little one! 👶",1607,8.18,0,train,real
Inviting everyone to our free medical mission tomorrow morning at Santa Rosa.,2026,0.78,0,train,real
"P5000 cash grant galing sa Pag-IBIG AKAP, click this link para makuha ang ayuda: bit.ly/claim-now",22,18.53,1,train,real
"Grabe! busy yung small shop this morning, then naglaan ako ng time para magpahinga. Sulit naman kahit pagod.",1097,1.35,0,train,real
Bro help naman — na-hack yung BDO online banking ko. Nag-send sila ng OTP sa old number ko na ikaw na gumagamit. Send mo sakin please.,232,3.99,1,train,real
PA-PRE ORDER NA PO NG Ube Cheese Pandesal FOR TOMORROW! Aling Rosa Pastries 🤭 limited lang po ang bilog kaya bilisan!,2924,1.15,0,val,synthetic_emoji_giveaway_fix
May nakakaalam ba kung paano mag-apply ng tulong sa PhilHealth? Badly need it.,2144,0.66,0,train,real
"Sis pasuyo naman, pa-receive ng P500 sa Coins.ph mo, may error kasi app ko ngayon.",42,24.82,1,train,real
Barkada reunion at Bo's Coffee! Ang tanda na natin pero same energy pa rin.,1361,8.44,0,train,real
Welcome home sa ate/kuya ko from abroad! Missed you so much!,776,2.49,0,train,real
Today felt simple: finally napanood ko yung movie. Sana mas relaxed ang next few days.,2111,2.98,0,val,real
"Sis pasuyo naman, pa-receive ng P20000 sa Coins.ph mo, may error kasi app ko ngayon.",32,16.58,1,train,real
Ang hirap mag-aral while working. But I know it'll be worth it someday.,1907,11.04,0,train,real
"Uy, may nag-try mag-login sa GCash mo. Hindi ikaw yon? Confirm mo dito: wa.me/1530.",854,22.15,1,train,real
"Keep the faith, lods. Hindi tayo pinababayaan ng Diyos. Laban lang!",2507,2.07,0,train,real
Today felt simple: naglinis ako ng garden. At least productive ang araw.,2558,2.5,0,val,real
Attention: Nag-send kami ng OTP sa number mo para sa Metrobank verification. I-enter mo dito: wa.me/3349.,13,8.99,1,train,real
Finally bought the DSLR camera I've been eyeing for months. Reward ko sa sarili ko!,2735,0.89,0,val,real
Legit seller here! Samsung Galaxy S24 brand new for $200. DM to reserve. Can ship via Flash Express.,5,7.93,1,val,real
Ang viral nung dance challenge sa TikTok. Na-try ko pero fail haha.,1692,2.64,0,test,real
Today felt simple: ang daming deadline this week. Worth it yung effort.,2648,2.26,0,val,real
"Kaka-approve lang ng loan ko sa GoTyme, opisyal na branch, walang advance fee, ang bagal lang talaga ng process.",159,11.19,0,train,synthetic_supplement
"Mga lods, kung kailangan niyo ng pera, I-try niyo to — ₱200,000 instant approval. ₱300 lang processing fee: bit.ly/earn8385.",31,11.78,1,val,real
Nag-marathon ng Harry Potter movies buong holiday. Classic talaga!,569,0.98,0,test,real
"Boss, need ko lang yung Security Bank verification code na na-send sa number mo. Lumang account ko kasi yan. Asap!",953,11.25,1,val,real
"Gusto mo kumita ng ₱2,500 habang natutulog? Passive income app to — legit, marami nang proof: cutt.ly/5497.",94,2.5,1,train,real
Nagluto ako ng breakfast today — pancakes and eggs! Simple joys.,1698,2.87,0,train,real
"After a busy day, nagplano kami ng short trip. Tomorrow ulit. Back to reality tomorrow haha.",2141,2.9,0,val,real
Barkada reunion at KFC! Ang tanda na natin pero same energy pa rin.,1753,0.64,0,train,real
DOLE payout is ready! I-claim ang P2500 dito sa link na ito: gcash-rewards-ph.net,53,24.91,1,val,real
Bought a gift for my friend online. Sana magustuhan niya!,1295,12.97,0,train,real
Photos from @ChrisSitson show the extent of the damage in Cagayan Valley following last night's storm. https://ndrrmc.gov.ph/6614,772,5.21,0,test,synthetic_bias_fix
"Simple online tasks = big money! ₱1,000/day, no boss, no schedule. Join our team: t.me/group2815.",3,24.96,1,test,real
Bible reading before bed — best habit I've developed this year.,210,4.74,0,train,real
"Finally! naabutan ako ng traffic pauwi, then naglaan ako ng time para magpahinga. Worth it yung effort.",2991,2.79,0,test,real
"Late-night thoughts, bumili ako ng bagong libro. Back to reality tomorrow haha.",143,2.54,0,train,real
"Mga lods, naglaro kami hanggang madaling-araw. Needed that break today. Simple things pero nakaka-good mood.",1552,2.67,0,test,real
"Guys, nakita ko itong digital investment pool opportunity and ang promise ay earn passive income from your phone. submit the online form.",42,12.96,1,train,real
Hi! This is Maya customer support. Your account will be deactivated in isang linggo if you don't verify: forms.gle/2944.,207,17.12,1,train,real
Grabe yung ending ng documentary! No spoilers pero must-watch talaga!,1125,2.22,0,test,real
"After a busy day, nag-set aside ako ng Sunday para magpahinga. Tomorrow ulit. At least productive ang araw.",2649,2.99,0,train,real
