text,account_age,posting_frequency,label
"Libre ang puhunan, kita lang ang hanap! Join our investment community: wa.me/9355. Members earning ₱15,000 per week. Ref 4982.",20,23.65,1
Nag-marathon ng Harry Potter movies buong holiday. Classic talaga! Note 4541.,1303,16.82,0
"Your credit limit has been increased to ₱1,000,000. Activate now by paying ₱999: rebrand.ly/1118. Ref 2891.",248,10.5,1
"Good morning! busy yung small shop this morning, then naglaan ako ng time para magpahinga. Sana mas relaxed ang next few days. Note 0853.",2052,0.96,0
Ang hirap mag-LDR pero worth it naman pag nagkita na. Note 7427.,337,10.92,0
"No credit history needed! Get ₱200,000 approved today. Simple requirements + ₱100 fee: t.me/group1543. Ref 9798.",16,0.8,1
Ang hirap mag-LDR pero worth it naman pag nagkita na. Note 7276.,425,11.58,0
"Lods, legit seller ako. electric scooter for ₱1,500. Sealed, brand new. Shipping via J&T. PM to order! Ref 8000.",239,5.12,1
"Ang galing ng Diyos — just when I thought I couldn't, He made a way. Note 6410.",2829,1.15,0
Nag-bond kami ng family sa BGC. Best weekend ever! Note 8029.,1075,2.23,0
"Late-night thoughts, natapos ko rin yung report. Ang simple ng araw pero okay lang. Need ko talaga ng rest after that. Note 0984.",1254,2.02,0
Father's Day greetings to all the hardworking dads out there! 💪 Note 6638.,151,3.92,0
"Uy lods, last piece na ng laptop — ₱15,000. Kung gusto mo, bayaran mo na agad. Pa-GCash na lang. Ref 3187.",245,17.59,1
"Sorry ha, nag-register ako sa UnionBank online pero lumang number ko na sayo na yung nakalagay. Pa-send ng OTP.",1313,21.7,1
Annual physical exam today. Prevention is better than cure! Note 6661.,3,0.14,0
Sino nakakita nung viral video sa Ayala? Ang funny talaga! 😂 Note 2312.,1833,2.51,0
"Kumita ng malaki sa bahay lang! Walang puhunan, walang risk. Magregister ka lang: t.me/group2193. Ref 5050.",5,27.77,1
Coins.ph Security Alert: Someone tried to access your account from a new device. Confirm it's you: forms.gle/8541. Ref 7295.,1759,20.97,1
Random update: sobrang kulit ng aso namin. Need ko talaga ng rest after that. Note 0524.,2551,1.43,0
"Looking for people interested in part-time data entry? Sabi nila secure a high-paying slot, kahit beginner puwede. pay the activation fee first. tested na raw ng mga kakilala ko. Ref 0151.",19,16.13,1
Celebrated our anniversary today. Grateful for this person. ❤️ Note 3247.,964,0.29,0
Nag-sell ako ng homemade pastries online. Ang daming orders! Grateful for the support. Note 5852.,371,0.46,0
"GSIS member? You qualify for an emergency loan of ₱500,000. One-time fee of ₱200: bit.ly/earn5356. Ref 5453.",3,9.87,1
"Looking for people interested in foreign-currency trading? Sabi nila claim a limited cash reward, kahit beginner puwede. pay the activation fee first. tested na raw ng mga kakilala ko. Ref 0261.",9,6.35,1
Nag-submit ako ng project proposal kanina. Sana ma-approve! Note 3333.,1903,0.94,0
"Guys, nakita ko itong government assistance offer opportunity and ang promise ay receive a crypto bonus instantly. reserve your slot today. mabilis lang ang process. Ref 0212.",56,21.62,1
Reminder to myself: having money doesn't mean spending everything. Saving is part of the plan. Note 0139.,319,1.98,0
"May bago nanaman na earning app! ₱50,000 sign up bonus. Withdraw agad sa GCash! t.me/group9054. Ref 6330.",115,1.01,1
"After a busy day, nag-set aside ako ng Sunday para magpahinga. Tomorrow ulit. Worth it yung effort. Note 0725.",440,2.39,0
Ang daming deadline this week. Sana matapos ko lahat on time! Note 9084.,56,0.7,0
Lazada sale ngayon! Naka-add to cart na ako ng marami pero di ko i-checkout lahat haha. Note 5052.,564,0.34,0
"Mga lods, nag-lunch kami ng family. Needed that break today. Small progress is still progress. Note 0952.",851,1.65,0
Bible reading before bed — best habit I've developed this year. Note 4296.,1984,2.28,0
Nag-order ng birthday cake online. Ang ganda ng reviews so excited na ako! Note 3497.,49,2.35,0
Started going to the gym again today. Ang sakit ng legs ko! Note 2954.,408,17.63,0
"Crypto prices are interesting to watch, but I'm only reading about the market for now. Note 0231.",1140,2.68,0
"Your China Bank OTP is needed for a pending transaction of ₱500. If this is not you, verify at shorturl.at/6208. Ref 7561.",37,12.89,1
"Help naman! May nag-hack ng GrabPay ko and nag-try mag-transfer ng ₱5,000. Paki-send yung code para ma-block ko.",24,28.97,1
"Sorry ha, nag-register ako sa RCBC online pero lumang number ko na sayo na yung nakalagay. Pa-send ng OTP.",123,3.86,1
"May nag-cancel na order kaya extra stock kami ng mountain bike. ₱1,000 discounted price. PM asap. Ref 1764.",786,21.42,1
"Sir/Ma'am, limited stocks na po yung DSLR camera. Pwede po ba mag-full payment muna? Ship ko agad pagkareceive. Ref 3619.",819,12.44,1
Nagtabi ako ng cash for my parents this month. Small way lang to say thank you. Note 0173.,916,1.1,0
BDO notice: Your online banking access is expiring. Please complete the security form using the page sent in this message before your access is restricted. Ref 0616.,4,20.26,1
Today felt simple: ang daming deadline this week. Worth it yung effort. Note 0975.,381,0.37,0
"Nakaka-$50 na ako per day dito sa trading. Hindi scam to, may SEC papers. Sama ka na: tinyurl.com/free2944. Ref 1341.",162,8.53,1
The security deposit is refundable and will be returned with your loan. Kindly pay ₱300 to proceed. shorturl.at/2625. Ref 4436.,50,25.94,1
Nag-link kasi yung RCBC ko sa number mo noon. Ngayon kailangan ko yung OTP. Pa-text back ha?,47,2.68,1
"His grace is sufficient. Whatever you're going through, trust the process. 🙏 Note 1146.",6,0.68,0
Nag-sell ako ng preloved items online. Decluttering while earning! Note 7690.,741,9.43,0
Learning about blockchain lately for school and personal curiosity. Interesting yung technology behind it. Note 0043.,1811,0.87,0
"SALE! Nintendo Switch for only ₱1,500! Original, sealed, with warranty. Order now: shorturl.at/7550. Ref 7082.",25,26.08,1
BDO notice: A security review is required. Please review the transaction immediately using the page sent in this message before your access is restricted. Ref 0693.,33,28.42,1
Road trip with the barkada next weekend! Can't wait! 🚗 Note 4907.,2888,1.95,0
"Grabe, ang mura! iPad Air — $200 na lang! Last stocks na. Reserve na: tinyurl.com/free4738. Ref 2242.",11,20.65,1
"Work from home opportunity — like and review products for ₱1,000/day! Free training provided. shorturl.at/9947. Ref 9633.",21,17.83,1
Nag-sell ako ng homemade pastries online. Ang daming orders! Grateful for the support. Note 9991.,1036,8.32,0
"Mga lods, kung kailangan niyo ng pera, I-try niyo to — ₱200,000 instant approval. ₱750 lang processing fee: tinyurl.com/free3550. Ref 7990.",60,20.1,1
"Mga lods, nag-lunch kami ng family. Needed that break today. Need ko talaga ng rest after that. Note 0664.",2626,1.23,0
"Mga lods, may cashback program daw na turn ₱500 into a bigger payout. PM me for the registration link; legit daw and maraming payout screenshots. Ref 0140.",32,22.11,1
"Good news! If you want mobile earning app, they claim you can unlock a bonus after three referrals. message me ASAP and don't miss it. sayang kung ma-late ka. Ref 0569.",5,13.98,1
"Attention po! If you want crypto airdrop, they claim you can get paid for simple tasks. send your details to the coordinator and don't miss it. huwag palampasin kung kailangan mo ng extra income. Ref 0324.",60,15.3,1
"Now hiring data encoders! No experience required, training provided. Salary: ₱3,000/month. t.me/group9359. Ref 7167.",38,15.45,1
Today felt simple: naglinis ako ng garden. Sulit naman kahit pagod. Note 0771.,2201,2.74,0
Part-time online job. $100/month. PM is the key. Ref 3325.,140,19.75,1
Pre-order na! Air Jordan arriving in 48 hours. Slot payment: ₱150. Balance upon arrival. Ref 1001.,1786,14.32,1
"Emergency loan — released within the day! ₱200,000 max amount, flexible payment. Just pay ₱250 enrollment fee. Ref 9080.",36,28.28,1
"Sa mga naghahanap ng extra income, this online chat support offer says you can withdraw earnings every afternoon. connect your wallet for verification, lods. open until midnight only. Ref 0358.",58,24.1,1
I checked my bank balance today and finally hit my small savings goal. One step at a time. Note 2048.,1647,2.91,0
"GCash Support: We need to verify your account details to process your pending transaction of ₱7,500. Click: wa.me/5651. Ref 1071.",21,7.29,1
Stressful day at work pero at least productive naman. Note 9419.,2708,2.38,0
Flash sale alert pero di ko na-checkout on time. Sayang! Next time na lang. Note 3231.,1244,1.72,0
"Mga lods, naglaro kami hanggang madaling-araw. Needed that break today. Small progress is still progress. Note 0982.",1060,0.36,0
Wholesale iPad Air — ₱999 per unit! Minimum order 10 pcs. Full payment before shipping. rebrand.ly/6240. Ref 5597.,14,16.64,1
Grabe! Na-flag yung UnionBank account mo. I-verify mo agad dito: t.me/group2193 para di ma-lock. Ref 3936.,196,3.56,1
"Pre, nag-try ako mag-change ng password sa BPI. Nag-send sila ng OTP sa old number ko. Pa-forward please!",12,5.76,1
"Nag-change kasi ako ng phone. Yung China Bank verification code na na-receive mo, para sa account ko yun. Pa-send back?",190,9.14,1
"Bro, ang tagal ko na di nagamit yung PNB account ko. Nag-send sila ng reactivation code sa old number. Pa-forward?",23,15.82,1
"Gusto mo kumita habang naka-phone lang? Like products and earn ₱3,000 daily. Proven: rebrand.ly/1530. Ref 3384.",1,23.03,1
"Guys, nakita ko itong government assistance offer opportunity and ang promise ay receive a crypto bonus instantly. click the link in the post. first come, first served. Ref 0647.",11,23.87,1
"Hiring ASAP! Factory worker in New Zealand, no placement fee! Message me for details. Ref 6899.",12,1.36,1
Random update: sobrang kulit ng aso namin. Need ko talaga ng rest after that. Note 0974.,2985,2.45,0
Invest wisely! Our company is SEC-registered and has been paying members for 2 years. Start with ₱999: bit.ly/earn2446. Ref 7536.,47,22.9,1
Reunion with college friends after so many years. Parang kahapon lang! Note 9659.,1354,0.84,0
Ang daming deadline this week. Sana matapos ko lahat on time! Note 5702.,1590,0.25,0
